,userId,itemId,click,timestamp
0,1,16532987,10.0,1260759144
1,1,16442712,12.0,1260759179
2,1,60365775,12.0,1260759182
3,1,60278368,8.0,1260759185
4,1,20463438,16.0,1260759205
5,1,80495422,8.0,1260759151
6,1,10427295,8.0,1260759187
7,1,50457775,8.0,1260759148
8,1,30360227,14.0,1260759125
9,1,80507095,8.0,1260759131
10,1,30297434,10.0,1260759135
11,1,40158135,4.0,1260759203
12,1,80396323,16.0,1260759191
13,1,50443825,16.0,1260759139
14,1,16082619,12.0,1260759194
15,1,14231978,8.0,1260759198
16,1,16485155,8.0,1260759108
17,1,16510987,10.0,1260759113
18,1,49432031,4.0,1260759200
19,1,20460835,12.0,1260759117
20,2,16249021,16.0,835355493
21,2,14288316,20.0,835355681
22,2,30343756,20.0,835355604
23,2,60502249,16.0,835355552
24,2,10482994,16.0,835355586
25,2,80300472,12.0,835356031
26,2,16298583,12.0,835355749
27,2,89861294,16.0,835355532
28,2,297464,12.0,835356016
29,2,40496174,20.0,835355395
30,2,16549092,16.0,835355441
31,2,30492807,12.0,835355493
32,2,60489851,12.0,835355441
33,2,29319917,12.0,835355710
34,2,80396323,12.0,835355511
35,2,20309786,12.0,835355664
36,2,14309643,12.0,835355511
37,2,16255458,20.0,835355840
38,2,14272143,4.0,835355749
39,2,50239594,12.0,835355552
40,2,14286325,12.0,835355664
41,2,60348856,12.0,835355896
42,2,20499908,16.0,835355511
43,2,16249352,16.0,835355681
44,2,409503,20.0,835355697
45,2,80485461,20.0,835355586
46,2,30497391,12.0,835355767
47,2,59416771,16.0,835355779
48,2,16298583,12.0,835355492
49,2,50499445,16.0,835355395
50,2,90395158,12.0,835355532
51,2,395153,16.0,835356044
52,2,14308122,8.0,835355551
53,2,79417760,4.0,835355918
54,2,14308124,12.0,835355492
55,2,16251607,16.0,835355441
56,2,14260144,16.0,835355697
57,2,19392593,12.0,835355628
58,2,99417325,12.0,835355749
59,2,16438280,12.0,835355604
60,2,99417702,12.0,835355619
61,2,49416347,8.0,835355932
62,2,60170476,12.0,835355968
63,2,70465010,12.0,835356094
64,2,9417749,12.0,835355710
65,2,50492514,12.0,835356165
66,2,14291658,8.0,835356246
67,2,40354278,12.0,835355532
68,2,40417450,16.0,835355604
69,2,70395772,12.0,835355511
70,2,16479622,16.0,835355790
71,2,30492807,8.0,835355828
72,2,16488600,16.0,835355643
73,2,80499967,12.0,835355918
74,2,30486689,12.0,835355880
75,2,16514005,16.0,835355731
76,2,10339736,16.0,835355860
77,2,40452194,16.0,835355719
78,2,16469228,16.0,835355817
79,2,69417534,16.0,835355731
80,2,16455853,16.0,835356199
81,2,10499961,12.0,835355767
82,2,59416479,12.0,835356109
83,2,10501025,20.0,835355767
84,2,16251248,12.0,835355860
85,2,14291655,20.0,835355817
86,2,16384407,12.0,835355790
87,2,70503743,12.0,835355779
88,2,50507087,12.0,835355441
89,2,20497283,20.0,835355697
90,2,16537291,20.0,835355395
91,2,16255458,20.0,835355395
92,2,20507084,12.0,835355511
93,2,70478404,12.0,835355932
94,2,16505742,16.0,835356141
95,2,10487251,16.0,835355978
96,3,50459996,12.0,1298861675
97,3,14201537,16.0,1298922049
98,3,10427629,14.0,1298861637
99,3,16127213,12.0,1298861761
100,3,14272130,18.0,1298862418
101,3,14249782,20.0,1298862121
102,3,89431987,10.0,1298861589
103,3,16251249,20.0,1298862167
104,3,90501776,10.0,1298923242
105,3,16194948,12.0,1298862528
106,3,16264991,12.0,1298922100
107,3,16469231,12.0,1298923247
108,3,20497283,12.0,1298921840
109,3,40297283,8.0,1298923260
110,3,80446337,14.0,1298932787
111,3,89861294,16.0,1298863157
112,3,40389602,12.0,1298861687
113,3,50499030,20.0,1298932770
114,3,70454827,12.0,1298921795
115,3,30471697,16.0,1298861628
116,3,16267348,12.0,1298861605
